小区,地址,房型,面积,朝向,层高,建造年份,单位面积价格,总价格,备注
天华御景苑,章贡章江北大道杨公路11号,4室2厅2卫,160㎡,南北,高层(共12层),2010年建造,7500元/㎡,120万,捡漏啦！杨梅渡公园对面 滨江二小 精装大4房比同户型便宜十万
中环中央城B区,章贡中央公园绵江路21号,4室2厅2卫,130㎡,东,低层(共26层),2015年建造,12000元/㎡,156万,中央生态公园旁，精装修大四房，婚房优选
巨亿城,章贡八一四大道八一四大道,4室2厅2卫,115㎡,南,高层(共34层),2019年建造,9479元/㎡,109万,新上四房 景观  楼层  不靠高架不靠桥   急售109万
文明大道109号小区,章贡营角上文明大道109号,5室2厅2卫,150㎡,南,高层(共7层),2000年建造,5734元/㎡,86万,红旗大道 文明大道鱼湾里附近 精装大5房2厅2卫仅售86万
江西理工大学东苑住宅区,章贡三康庙红旗大道122号,2室2厅1卫,80㎡,南北,低层(共6层),1996年建造,5875元/㎡,47万,业主急售 可首期5万 全新装修可直接入住 南向采光好 随时看
宫保府3号大院,章贡大公路文清路36-3号,4室2厅2卫,102㎡,南北,低层(共7层),1990年建造,5491元/㎡,56万,钓鱼台旁正规四房 一楼可租可住 总价低 小区停车方便
黄屋坪路14号小区,章贡黄屋坪路黄屋坪路14号,4室2厅2卫,140㎡,南北,低层(共7层),1998年建造,6250元/㎡,87.5万,要低楼层的看过来，超大小区相当好停车，头排视野无遮挡，
广贸中心商厦,章贡八一四大道康定路1号,3室2厅1卫,104㎡,南北,中层(共6层),1996年建造,6250元/㎡,65万,贸易广场精装三房南北通透户型，送点小露台中间楼层。
二六四建国路生活小区,章贡文清路建国路3号,3室2厅1卫,81㎡,南北,中层(共8层),1992年建造,6544元/㎡,53万,赣州公园旁建国路精装三房，通透户型，有院子，好停车，繁华地带
恒大帝景珑珺苑,章贡蓉江新区牡丹亭路8号,3室2厅2卫,128㎡,南,中层(共7层),2020年建造,16016元/㎡,205万,恒大帝景珑郡苑  豪装洋房三房两厅两卫只要200多万
财政局宿舍,章贡厚德路青年路22号,3室2厅1卫,110㎡,南北,中层(共7层),1996年建造,6000元/㎡,66万,青年路财政局精装三房，有小区好停车
大码头社区,章贡南河路南河路16号,3室2厅2卫,98.41㎡,西北,中层(共7层),1998年建造,5996元/㎡,59万,少之又少  老城区  3房2卫户型
群星住宅小区,章贡张家围张家围路15号,3室2厅2卫,90㎡,南,高层(共7层),1996年建造,6112元/㎡,55万,红旗二小 张家围群星小区精装3房仅55万
宫保府3号大院,章贡大公路文清路36-3号,4室2厅2卫,102㎡,南北,低层(共7层),1990年建造,5491元/㎡,56万,钓鱼台旁正规四房 一楼可租可住 总价低 小区停车方便
江西理工大学东苑住宅区,章贡三康庙红旗大道122号,2室2厅1卫,80㎡,南北,低层(共6层),1996年建造,5875元/㎡,47万,业主急售 可首期5万 全新装修可直接入住 南向采光好 随时看
巨亿城,章贡八一四大道八一四大道,4室2厅2卫,115㎡,南,高层(共34层),2019年建造,9479元/㎡,109万,新上四房 景观  楼层  不靠高架不靠桥   急售109万
文明大道109号小区,章贡营角上文明大道109号,5室2厅2卫,150㎡,南,高层(共7层),2000年建造,5734元/㎡,86万,红旗大道 文明大道鱼湾里附近 精装大5房2厅2卫仅售86万
西郊路7号小区,章贡三康庙西郊路7号,3室2厅2卫,118㎡,南北,中层(共7层),1999年建造,5339元/㎡,63万,老城区西郊路精装修三房两厅两卫118平方63万带柴间好停车
文明大道17-25号小区,章贡张家围文明大道17-25号,4室2厅1卫,139.3㎡,南,中层(共7层),1995年建造,5155元/㎡,71.8万,文明大道桃子园对面大气正规四房南北通透有院子停车红旗二张家围
春江花月C区,章贡三康庙章江北大道142号,3室2厅1卫,90㎡,南北,低层(共6层),2011年建造,9645元/㎡,86.8万,3室2厅 精装修 满五 春江花月C区 诚心出售 价格可议
马扎巷32号小区,章贡西郊路马扎巷32号,3室2厅2卫,104㎡,南北,高层(共7层),2000年建造,5750元/㎡,59.8万,郁孤台景区旁精装3房好停车 中间楼层 小区升级改造好
丽江花园,章贡八一四大道八一四大道69号,3室2厅2卫,166㎡,南,中层(共15层),2008年建造,6567元/㎡,109万,可看江景的电梯3房，捡漏10年小区单价6500，小区好停车。
厚德路55-60号小区,章贡大公路厚德路55-60号,3室2厅2卫,120㎡,南北,共5层,1996年建造,4834元/㎡,58万,买一层得两层，厚德路精装三房，单独露台上楼
嘉福国际(商住楼),章贡红旗大道渡口路9号,2室2厅1卫,54㎡,北,高层(共24层),2009年建造,9815元/㎡,53万,章贡区全线江景房复式新精装两房有阳台70年住宅好停车红旗大道
保利联发康桥,章贡蓉江新区兴国路,4室2厅2卫,142㎡,南,中层(共26层),2020年建造,15493元/㎡,220万,捡漏好房  精装四房二卫 E地块 保利联发康桥
人民巷社区,章贡青年路青年路11号,3室2厅1卫,90㎡,南,高层(共7层),1992年建造,5889元/㎡,53万,南门口 文清路小 赣三中 送大露台 杂物间 小区好停车
黄屋坪路5-13号小区,章贡黄屋坪路黄屋坪路5-13号(单号),3室2厅2卫,120㎡,南,中层(共7层),1993年建造,6000元/㎡,72万,南门口步步高旁 带私家大露台 三楼 精装大三房 小区已在改造
保利联发康桥,章贡蓉江新区兴国路,3室2厅1卫,93㎡,南北,高层(共32层),2019年建造,16130元/㎡,150万,保利联发康桥 93平米一线江景精装三房  中高层
民心苑小区,章贡张家围张家围路,3室2厅1卫,90㎡,南北,低层(共6层),2000年建造,6889元/㎡,62万,全球通大桥旁 2000年房龄低楼层边套三房 送柴间可按揭
中国银行城南支行宿舍,章贡营角上东阳山路27号,3室2厅2卫,100㎡,南北,高层(共7层),1994年建造,5680元/㎡,56.8万,步步高南门口旁100米 精装3房有院子好停车 中间楼层
春江花月C区,章贡三康庙章江北大道142号,3室2厅1卫,90㎡,南北,中层(共7层),2012年建造,8112元/㎡,73万,春江花月精装三房 江边小区 中间楼层 生活方便 小区停车方便
碧桂园联发蓉江府,章贡蓉江新区兴国路,4室2厅2卫,143㎡,南北,中层(共32层),2019年建造,12938元/㎡,185万,新上精装修4房，碧桂园蓉江府，中间楼层看小区园景
碧桂园联发蓉江府,章贡蓉江新区兴国路,3室2厅1卫,102㎡,南北,低层(共27层),2017年建造,12648元/㎡,129万,蓉江新区 碧桂园蓉江府 精装通透三房 仅售129万元
西郊路7号小区,章贡三康庙西郊路7号,3室2厅2卫,118㎡,南,中层(共6层),1998年建造,5933元/㎡,70万,临江边小区 中等楼层 多阳台全明采光 南北通透 精装三房
