小区,地址,房型,面积,朝向,层高,建造年份,单位面积价格,总价格,备注
龙湖佳兴紫云台,南康南山大道天马山大道,4室2厅2卫,126㎡,南北,中层(共11层),2020年建造,8731元/㎡,110万,龙湖紫云台小洋房四房两厅126平仅售115万四小十一中
中梁南山院,南康广场天街南山大道,3室2厅2卫,105㎡,南北,高层(共34层),2018年建造,7810元/㎡,82万,南山院 毛坯3房 南水核心 有电梯 南北通透视野好
佳和睿智居,南康迎宾中大道学府路3号,6室2厅4卫,230㎡,南北,低层(共17层),2016年建造,9522元/㎡,219万,佳和睿智居 豪装大气复式6房2厅4卫 装修花了80多万
龙祥城南花园,南康天马山大道天马山大道,4室2厅2卫,85㎡,南北,中层(共33层),2016年建造,10000元/㎡,85万,城南花园复式楼 使用面积178 毛坯4房
鑫安佳苑,南康广场天街泰康东大道53号,3室2厅2卫,127㎡,南北,低层(共12层),2014年建造,5890元/㎡,74.8万,六中旁鑫安佳苑电梯精装3房精装未入住
恒辉大景城,南康迎宾中大道迎宾南大道2号,3室2厅2卫,133.5㎡,南北,高层(共19层),2016年建造,5978元/㎡,79.8万,亏本卖 精装大3房 拎包入住 急售
翡翠公馆,南康迎宾中大道工业一路,3室2厅2卫,109㎡,南北,中层(共32层),2016年建造,8239元/㎡,89.8万,迎宾中大道 坪岭转盘旁 精装好房 拎包入住 房东急售
珑玺湾,南康迎宾中大道金赣北大道,3室2厅2卫,101.75㎡,南北,低层(共18层),2022年建造,6271元/㎡,63.8万,家具小镇 北   珑玺湾刊江实景温馨三房 南面朝江买房送车位推荐新房
南水国际,南康天马山大道天马山大道,3室2厅2卫,126㎡,南北,中层(共7层),2016年建造,6635元/㎡,83.6万,南水国际 精装修南北通透双阳台3房2厅126平
佳兴锦园,南康蓝田大道天马山大道,4室2厅2卫,130㎡,南,中层(共32层),2021年建造,8924元/㎡,116万,佳兴锦园四房两厅130平房东急售价格119万4小11中
佳兴文峰花园,南康迎宾中大道文峰路,3室2厅2卫,106㎡,南,低层(共33层),2018年建造,6510元/㎡,69万,文峰大道六小旁文峰花园城毛坯正三房可改四房朝南采光好
恒辉大景城,南康迎宾中大道迎宾南大道2号,3室2厅2卫,133.8㎡,南北,高层(共19层),2015年建造,6353元/㎡,85万,恒辉大景城大三房精装修南北通透拎包入住
迎宾苑,南康广场天街迎宾南大道,5室2厅2卫,138㎡,南北,低层(共33层),2018年建造,3754元/㎡,51.8万,七小九中 迎宾苑五房 小区有免费地下停车场 带80平米晒台
宝辉幸福城,南康南水大道南山大道,3室2厅2卫,99㎡,南北,低层(共32层),2016年建造,8445元/㎡,83.6万,四小十一中宝辉幸福城  精装3房2厅 视野好房东另置大业
